,time,low,high,open,close,volume
0,1614383940,46300.56,46400.0,46332.97,46326.2,12.35249035
1,1614383880,46274.17,46374.73,46314.65,46340.31,6.11130634
2,1614383820,46301.41,46377.38,46370.78,46314.65,5.5888409
3,1614383760,46345.0,46465.16,46461.98,46370.78,8.74843675
4,1614383700,46241.35,46461.98,46241.35,46461.98,24.69371942
5,1614383640,46223.98,46289.99,46242.08,46236.99,8.51015749
6,1614383580,46200.03,46246.53,46223.35,46246.38,6.45784464
7,1614383520,46216.0,46268.45,46224.03,46223.35,5.23154925
8,1614383460,46173.77,46240.12,46207.82,46224.04,16.69930621
9,1614383400,46166.67,46281.64,46191.96,46206.51,12.13110153
10,1614383340,46166.67,46216.69,46216.69,46191.96,6.19959817
11,1614383280,46190.0,46275.95,46233.45,46216.69,5.08783882
12,1614383220,46224.33,46319.32,46290.6,46224.33,5.66558772
13,1614383160,46279.07,46320.0,46279.07,46290.6,5.88851486
14,1614383100,46248.65,46357.77,46310.76,46272.03,22.04242818
15,1614383040,46260.39,46339.93,46291.66,46304.0,10.52736214
16,1614382980,46262.17,46296.72,46282.28,46291.66,8.33384958
17,1614382920,46206.32,46290.73,46246.96,46290.36,4.23135663
18,1614382860,46235.37,46300.0,46270.96,46235.37,8.46351035
19,1614382800,46183.98,46289.16,46261.14,46269.03,10.94570569
20,1614382740,46251.51,46339.99,46298.27,46254.14,5.76449967
21,1614382680,46260.44,46350.0,46338.71,46299.38,6.44337563
22,1614382620,46331.67,46445.36,46359.81,46342.84,12.11571936
23,1614382560,46290.06,46374.28,46294.78,46358.02,7.08333974
24,1614382500,46264.68,46339.25,46312.95,46294.55,5.00851655
25,1614382440,46256.67,46350.0,46328.8,46312.62,5.95859516
26,1614382380,46270.98,46403.4,46401.16,46328.8,13.0293641
27,1614382320,46221.33,46430.55,46279.14,46395.49,11.29014756
28,1614382260,46177.81,46325.01,46177.81,46285.31,16.99865444
29,1614382200,46134.87,46240.33,46240.33,46183.92,6.57048762
30,1614382140,46226.01,46342.13,46229.73,46241.34,9.32123763
31,1614382080,46077.01,46292.89,46120.84,46229.73,8.58690825
32,1614382020,46100.01,46227.88,46199.67,46123.0,7.83170302
33,1614381960,46162.49,46374.99,46252.16,46199.76,19.6476989
34,1614381900,45964.4,46379.16,45973.1,46252.16,52.24135838
35,1614381840,45908.48,45973.54,45918.24,45973.03,4.17447345
36,1614381780,45798.69,45918.11,45804.44,45915.58,9.52522456
37,1614381720,45752.26,45924.88,45924.88,45806.02,9.74138359
38,1614381660,45886.65,45983.41,45928.81,45917.21,8.8167677
39,1614381600,45852.48,46042.34,46042.34,45928.81,12.47253097
40,1614381540,46050.0,46085.62,46051.28,46050.0,18.17794198
41,1614381480,46050.3,46107.76,46103.95,46056.01,5.31035814
42,1614381420,46010.54,46115.33,46034.79,46105.11,5.8842484
43,1614381360,46050.0,46123.44,46123.44,46050.0,5.38672461
44,1614381300,46018.16,46139.37,46021.98,46123.9,17.69100239
45,1614381240,46021.98,46120.61,46120.6,46021.98,6.04551571
46,1614381180,46035.0,46126.66,46110.82,46124.11,8.80432194
47,1614381120,46031.96,46134.45,46036.3,46111.96,9.96015137
48,1614381060,46000.0,46128.97,46101.0,46036.03,15.15050893
49,1614381000,45930.4,46133.39,46064.95,46112.31,21.50728581
50,1614380940,45920.36,46084.16,45960.19,46071.79,27.35969494
51,1614380880,45818.7,45966.47,45818.7,45954.25,25.3697496
52,1614380820,45817.71,45868.63,45838.44,45818.71,15.40275148
53,1614380760,45774.82,45852.09,45795.19,45838.23,16.09944364
54,1614380700,45649.93,45795.2,45683.64,45795.2,21.79256929
55,1614380640,45582.58,45677.25,45645.22,45671.39,8.47831374
56,1614380580,45554.37,45705.28,45559.99,45645.22,16.27418454
57,1614380520,45405.01,45560.0,45420.01,45550.0,21.86899946
58,1614380460,45420.0,45515.54,45500.14,45423.88,59.4833012
59,1614380400,45482.23,45581.3,45507.4,45500.13,63.14850339
60,1614380340,45505.99,45569.13,45569.13,45507.41,12.13279388
61,1614380280,45515.41,45575.2,45526.13,45562.81,8.98410912
62,1614380220,45523.59,45604.42,45570.6,45526.13,11.34238349
63,1614380160,45558.0,45652.34,45612.3,45570.68,8.75661419
64,1614380100,45564.25,45674.94,45664.67,45611.37,8.90549727
65,1614380040,45637.93,45720.33,45651.01,45674.05,8.95365732
66,1614379980,45635.7,45754.29,45654.84,45656.47,17.73836271
67,1614379920,45642.72,45763.91,45673.19,45654.84,38.46789023
68,1614379860,45544.74,45679.6,45621.37,45679.59,21.7877281
69,1614379800,45573.81,45712.19,45712.19,45601.98,33.40682575
70,1614379740,45709.66,45790.16,45781.39,45712.38,6.06065356
71,1614379680,45720.87,45849.86,45822.82,45766.94,10.46988782
72,1614379620,45796.75,45860.65,45856.1,45829.46,9.76076202
73,1614379560,45852.93,45929.44,45929.44,45856.32,10.88737156
74,1614379500,45843.19,45968.98,45883.68,45935.08,26.90622855
75,1614379440,45742.77,45898.2,45758.97,45893.97,11.77375967
76,1614379380,45671.05,45870.0,45870.0,45761.02,27.70797263
77,1614379320,45795.34,45887.38,45816.68,45869.65,11.84463981
78,1614379260,45736.95,45904.94,45747.69,45800.55,15.59472572
79,1614379200,45717.42,45922.39,45910.09,45744.73,26.25452553
80,1614379140,45811.71,45915.65,45817.21,45908.74,15.44873318
81,1614379080,45741.58,45817.91,45772.69,45817.2,12.62917193
82,1614379020,45647.89,45775.0,45670.58,45775.0,16.59022254
83,1614378960,45397.0,45673.6,45514.29,45641.39,81.18798616
84,1614378900,45467.27,45707.3,45707.3,45523.33,11.0632434
85,1614378840,45428.86,45729.07,45621.04,45721.22,22.79888892
86,1614378780,45617.4,45849.75,45849.75,45619.74,15.83177839
87,1614378720,45824.55,45951.12,45842.61,45837.56,30.90967157
88,1614378660,45790.5,45898.81,45896.64,45851.28,23.09321415
89,1614378600,45741.76,45890.74,45775.37,45890.48,32.21323434
90,1614378540,45523.0,45901.55,45523.16,45769.36,28.65260797
91,1614378480,45421.57,45612.71,45567.07,45523.12,39.93123843
92,1614378420,45567.07,45754.21,45734.25,45567.07,22.28223505
93,1614378360,45729.81,45988.07,45827.98,45734.26,31.27072598
94,1614378300,45735.38,45836.58,45735.39,45832.42,14.52502766
95,1614378240,45708.72,45791.0,45773.43,45735.38,15.56657686
96,1614378180,45600.02,45792.56,45690.0,45778.31,15.47521386
97,1614378120,45690.0,45775.02,45759.85,45690.01,42.34434126
98,1614378060,45755.01,45870.14,45861.0,45763.7,27.36127832
99,1614378000,45704.86,45885.45,45765.2,45855.3,45.2341274
100,1614377940,45600.92,45811.11,45600.93,45761.11,44.68648654
101,1614377880,45501.87,45671.93,45663.98,45600.93,23.13332681
102,1614377820,45584.13,45756.74,45590.73,45663.98,42.05690676
103,1614377760,45371.61,45600.0,45386.97,45589.92,44.59118653
104,1614377700,45088.0,45415.67,45158.99,45372.21,78.61431609
105,1614377640,45151.0,45305.76,45303.74,45157.11,15.97520199
106,1614377580,45157.8,45303.87,45178.08,45300.5,35.68775577
107,1614377520,45150.0,45207.9,45182.23,45173.9,23.78093175
108,1614377460,45150.0,45260.0,45167.93,45182.24,26.47942561
109,1614377400,45156.53,45315.77,45309.85,45172.77,81.40238684
110,1614377340,45300.0,45429.67,45427.6,45319.17,21.69741801
111,1614377280,45330.04,45592.91,45558.67,45427.6,36.00038022
112,1614377220,45506.23,45595.13,45578.29,45558.67,8.94376498
113,1614377160,45453.16,45700.0,45686.44,45571.04,25.29940749
114,1614377100,45419.76,45698.85,45431.2,45698.85,38.88927631
115,1614377040,45419.8,45599.82,45541.92,45419.8,32.07500267
116,1614376980,45390.01,45600.0,45411.63,45528.75,42.91893406
117,1614376920,45389.15,45696.7,45696.7,45407.02,60.45290887
118,1614376860,45565.66,45738.74,45577.05,45720.98,23.08884812
119,1614376800,45510.95,45750.0,45665.99,45575.91,33.72133237
120,1614376740,45559.24,45681.19,45651.54,45665.99,21.36952661
121,1614376680,45531.79,45716.54,45586.55,45651.55,28.00084737
122,1614376620,45471.54,45699.13,45585.65,45574.73,85.9384418
123,1614376560,45547.64,45862.37,45836.63,45591.81,99.55482213
124,1614376500,45800.0,45990.11,45954.66,45853.61,79.221071
125,1614376440,45933.02,46104.32,46069.27,45954.66,16.92107691
126,1614376380,45985.01,46132.95,46121.83,46061.61,22.49311752
127,1614376320,46100.63,46210.08,46154.84,46111.56,9.85153184
128,1614376260,46000.88,46181.66,46091.04,46155.38,13.39659209
129,1614376200,45941.66,46146.51,46042.16,46089.87,13.04819753
130,1614376140,46039.88,46276.27,46177.99,46043.55,24.88612465
131,1614376080,45834.19,46240.85,45874.95,46174.28,35.95081809
132,1614376020,45831.93,46193.45,46126.51,45888.63,123.55163911
133,1614375960,46076.44,46290.97,46266.78,46126.09,28.39717945
134,1614375900,46219.0,46451.99,46451.99,46264.4,34.45192896
135,1614375840,46359.11,46532.81,46359.11,46452.0,24.50769523
136,1614375780,46346.11,46433.14,46432.3,46351.81,8.40412678
137,1614375720,46392.6,46541.81,46405.38,46432.3,20.44618279
138,1614375660,46304.13,46415.95,46402.54,46405.73,16.92309407
