type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_ask,side,time,trade_id,last_size,predX,predDX,policy,algoType
ticker,21799759680,BTC-USD,48139.53,54961.08,71009.16353206,44888.08,55043.63,854297.40383153,48129.23,48139.53,buy,2021-02-23T21:35:51.901701Z,137332992,0.00200509,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799759733,BTC-USD,48139.15,54961.08,71009.16760444,44888.08,55043.63,854297.40790391,48129.32,48139.15,buy,2021-02-23T21:35:52.023190Z,137332993,0.00407238,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799760006,BTC-USD,48136.2,54961.08,71009.16849368,44888.08,55043.63,854297.40879315,48129.01,48136.20,buy,2021-02-23T21:35:52.343045Z,137332994,0.00088924,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799760031,BTC-USD,48135.6,54961.08,71009.16897947,44888.08,55043.63,854297.40927894,48129.01,48135.60,buy,2021-02-23T21:35:52.386334Z,137332995,0.00048579,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799760332,BTC-USD,48135.24,54961.08,71009.18934660,44888.08,55043.63,854297.42964607,48128.60,48135.24,buy,2021-02-23T21:35:52.862482Z,137332996,0.02036713,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799760430,BTC-USD,48136.26,54961.08,71009.19341956,44888.08,55043.63,854297.43371903,48128.06,48136.26,buy,2021-02-23T21:35:53.024561Z,137332997,0.00407296,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799760521,BTC-USD,48134.14,54961.08,71009.20377096,44888.08,55043.63,854297.44407043,48128.30,48134.14,buy,2021-02-23T21:35:53.142917Z,137332998,0.0103514,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799760578,BTC-USD,48128.31,54961.08,71009.20415344,44888.08,55043.63,854297.44445291,48128.30,48128.31,buy,2021-02-23T21:35:53.207855Z,137332999,0.00038248,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799760650,BTC-USD,48128.31,54961.08,71009.20443262,44888.08,55043.63,854297.44473209,48122.62,48128.31,buy,2021-02-23T21:35:53.253342Z,137333000,0.00027918,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799760727,BTC-USD,48128.31,54961.08,71009.20542474,44888.08,55043.63,854297.44572421,48128.30,48128.31,buy,2021-02-23T21:35:53.405345Z,137333001,0.00099212,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
