,time,low,high,open,close,volume
0,1614472440,46290.14,46298.01,46294.63,46297.49,0.43659892
1,1614472380,46271.92,46359.27,46290.38,46300.0,12.90022591
2,1614472320,46286.3,46439.04,46315.09,46290.38,9.39987577
3,1614472260,46251.74,46327.94,46262.27,46315.09,4.24414763
4,1614472200,46228.4,46308.48,46303.12,46262.27,14.04375218
5,1614472140,46290.54,46395.57,46389.77,46309.45,9.56611403
6,1614472080,46325.37,46434.95,46333.34,46389.76,8.84878553
7,1614472020,46333.33,46374.46,46370.58,46333.33,7.85356473
8,1614471960,46344.99,46450.0,46345.0,46370.58,5.82853823
9,1614471900,46336.49,46366.68,46366.68,46345.0,5.65384207
10,1614471840,46348.24,46419.18,46387.9,46353.34,5.99253614
11,1614471780,46336.49,46443.51,46400.48,46392.2,15.71059429
12,1614471720,46380.84,46488.71,46388.16,46413.2,15.6605334
13,1614471660,46339.57,46449.87,46442.99,46395.22,42.37150319
14,1614471600,46411.15,46522.66,46522.66,46434.0,15.6851968
15,1614471540,46518.16,46641.01,46518.17,46530.63,23.16558187
16,1614471480,46433.73,46613.39,46532.99,46518.82,21.82692517
17,1614471420,46443.0,46641.2,46536.99,46550.45,46.57418906
18,1614471360,46271.83,46537.26,46379.69,46537.0,27.4770103
19,1614471300,46200.99,46387.63,46216.94,46385.51,14.87293469
20,1614471240,46105.49,46297.7,46105.5,46224.84,10.26968884
21,1614471180,45947.39,46157.32,46076.12,46105.5,31.3742448
22,1614471120,45956.31,46174.33,46030.0,46089.66,26.42186822
23,1614471060,46030.0,46192.87,46169.35,46030.0,11.26949772
24,1614471000,46112.16,46279.84,46279.84,46169.04,23.52916549
25,1614470940,46218.98,46364.48,46318.79,46278.7,15.08721314
26,1614470880,46134.02,46392.42,46148.4,46304.68,38.43970377
27,1614470820,45932.38,46151.52,45932.38,46146.96,17.71086385
28,1614470760,45802.66,45931.19,45815.26,45931.19,33.43234254
29,1614470700,45713.03,45828.74,45713.03,45828.06,23.68752723
30,1614470640,45685.03,45855.43,45760.28,45717.46,27.01863221
31,1614470580,45678.96,45842.08,45827.69,45755.96,32.18678587
32,1614470520,45797.64,45931.11,45836.9,45837.48,38.03594413
33,1614470460,45655.1,45977.69,45977.69,45835.65,46.93479327
34,1614470400,45900.0,46189.32,46169.92,45973.56,28.71023142
35,1614470340,46096.77,46198.64,46182.86,46180.75,11.26975391
36,1614470280,46086.87,46243.93,46227.92,46182.86,19.75824297
37,1614470220,46074.09,46243.16,46158.12,46238.48,10.00277221
38,1614470160,46080.23,46200.0,46108.77,46150.1,10.90661992
39,1614470100,46107.93,46253.46,46226.42,46114.58,12.44795111
40,1614470040,46220.8,46288.0,46287.89,46226.43,15.70537286
41,1614469980,46246.25,46360.7,46248.59,46295.88,7.30461787
42,1614469920,46195.45,46322.0,46291.18,46255.92,37.09213497
43,1614469860,46248.77,46499.99,46354.65,46296.82,30.16226699
44,1614469800,46032.79,46444.0,46060.49,46373.32,43.31363341
45,1614469740,46022.78,46124.59,46051.17,46071.46,14.52402695
46,1614469680,46024.31,46170.26,46170.25,46062.42,25.61443128
47,1614469620,46050.52,46209.18,46182.66,46171.76,48.55766036
48,1614469560,45826.2,46193.54,45854.21,46191.95,37.24136793
49,1614469500,45767.45,45859.66,45796.09,45847.96,13.18208205
50,1614469440,45750.57,45826.13,45750.57,45796.23,13.27544674
51,1614469380,45735.83,45836.12,45766.34,45754.28,23.09600611
52,1614469320,45700.01,45777.33,45717.03,45766.06,9.41742702
53,1614469260,45704.5,45791.82,45751.2,45704.5,12.83116497
54,1614469200,45724.73,45881.18,45842.73,45751.2,38.14436362
55,1614469140,45721.29,45874.43,45788.28,45874.43,36.16436005
56,1614469080,45670.88,45794.33,45692.85,45790.65,19.71212724
57,1614469020,45630.28,45718.41,45651.91,45692.43,23.88310951
58,1614468960,45568.97,45657.12,45608.86,45652.39,20.5119512
59,1614468900,45452.39,45698.0,45464.69,45608.85,24.52983005
60,1614468840,45420.33,45510.08,45464.64,45464.69,27.63367859
61,1614468780,45370.83,45494.85,45429.91,45464.65,45.56578037
62,1614468720,45301.83,45453.78,45340.98,45444.29,22.57406242
63,1614468660,45209.19,45378.53,45373.58,45345.62,33.20670936
64,1614468600,45148.24,45372.37,45216.28,45372.37,35.20466447
65,1614468540,45100.0,45248.43,45146.47,45215.61,45.11067135
66,1614468480,45055.0,45159.41,45159.41,45130.96,62.80814795
67,1614468420,45113.71,45220.78,45207.46,45165.61,26.81449846
68,1614468360,45174.96,45360.01,45218.32,45182.27,35.72064613
69,1614468300,45151.0,45302.89,45299.28,45229.01,83.30364061
70,1614468240,45299.3,45384.19,45375.01,45299.3,31.21971436
71,1614468180,45303.26,45432.02,45391.25,45386.85,17.25458368
72,1614468120,45385.3,45582.09,45567.19,45391.25,23.93309399
73,1614468060,45410.63,45605.23,45410.63,45567.98,20.16380627
74,1614468000,45322.91,45419.42,45345.41,45415.55,22.8499653
75,1614467940,45272.84,45377.09,45305.6,45345.41,37.47593607
76,1614467880,45266.52,45426.23,45340.63,45290.0,59.9748219
77,1614467820,45307.58,45581.46,45575.6,45346.16,76.5451161
78,1614467760,45510.31,45619.27,45551.78,45577.77,41.53697928
79,1614467700,45460.0,45683.24,45490.0,45551.78,44.26800541
80,1614467640,45480.0,45554.91,45549.07,45490.0,32.70448532
81,1614467580,45487.0,45632.23,45616.15,45556.79,27.95309052
82,1614467520,45616.15,45707.82,45701.29,45616.16,19.09582782
83,1614467460,45648.75,45740.77,45648.75,45701.29,29.5826962
84,1614467400,45642.0,45900.65,45726.65,45654.95,52.03822029
85,1614467340,45563.12,45822.01,45568.05,45722.13,50.26086559
86,1614467280,45457.69,45575.61,45457.69,45570.34,19.05318627
87,1614467220,45449.0,45540.62,45523.61,45457.69,107.93667856
88,1614467160,45512.1,45632.23,45587.43,45523.62,55.29745252
89,1614467100,45551.0,45673.17,45594.27,45587.43,119.64629695
90,1614467040,45594.26,45700.0,45633.92,45594.27,70.16378444
91,1614466980,45627.25,45740.72,45700.0,45634.21,21.2948669
92,1614466920,45653.94,45812.95,45751.42,45707.49,42.21093276
93,1614466860,45750.01,45955.39,45950.79,45751.43,58.31806867
94,1614466800,45800.0,45999.99,45880.26,45973.22,92.94625702
95,1614466740,45810.0,46016.37,46016.0,45889.07,58.13627916
96,1614466680,45915.16,46336.0,46336.0,46017.56,168.30976929
97,1614466620,46336.0,46412.96,46409.51,46336.01,5.84884587
98,1614466560,46403.61,46443.93,46409.43,46410.42,9.89024966
99,1614466500,46400.0,46452.24,46441.2,46420.62,7.45148424
100,1614466440,46440.35,46536.0,46503.43,46442.63,7.99417723
101,1614466380,46430.43,46520.0,46439.56,46499.95,8.70107448
102,1614466320,46365.23,46450.04,46386.06,46441.28,17.93200944
103,1614466260,46386.06,46484.05,46420.0,46396.12,5.18415256
104,1614466200,46425.0,46478.01,46476.74,46425.0,7.8125356
105,1614466140,46475.0,46549.44,46549.44,46476.74,10.49825809
106,1614466080,46542.12,46558.08,46544.91,46549.44,4.41816039
107,1614466020,46519.82,46558.09,46541.21,46549.05,7.01003539
108,1614465960,46515.0,46576.68,46546.43,46539.85,9.74695048
109,1614465900,46539.56,46619.96,46605.8,46553.69,12.13419882
110,1614465840,46600.0,46640.89,46615.27,46606.52,11.26580438
111,1614465780,46615.27,46689.82,46676.83,46615.27,10.32511668
112,1614465720,46615.47,46693.69,46641.86,46693.69,9.14033112
113,1614465660,46594.37,46714.99,46708.92,46633.23,12.28724047
114,1614465600,46585.07,46728.39,46711.45,46705.78,13.38602235
115,1614465540,46520.28,46730.87,46529.34,46720.67,16.18272807
116,1614465480,46491.71,46528.47,46503.39,46528.46,5.17906646
117,1614465420,46491.7,46507.75,46491.71,46507.75,5.39830762
118,1614465360,46489.11,46519.22,46519.22,46498.6,3.40848529
119,1614465300,46503.5,46525.14,46516.43,46519.24,4.70497799
120,1614465240,46485.8,46517.35,46510.74,46516.83,4.76349099
121,1614465180,46476.59,46540.6,46479.78,46506.6,23.56484807
122,1614465120,46472.82,46497.49,46482.93,46479.78,22.27223523
123,1614465060,46462.18,46530.09,46468.0,46482.93,12.39583172
124,1614465000,46386.06,46480.76,46390.5,46467.48,31.32580319
125,1614464940,46390.5,46533.27,46519.85,46390.51,23.08768609
126,1614464880,46362.3,46537.96,46372.51,46508.52,33.4976116
127,1614464820,46324.97,46384.48,46376.22,46376.84,13.21510268
128,1614464760,46362.57,46430.81,46427.91,46376.23,14.87775267
129,1614464700,46408.64,46467.27,46464.07,46427.91,23.46759734
130,1614464640,46462.64,46621.09,46615.94,46468.32,33.36480248
131,1614464580,46562.28,46626.85,46617.47,46616.45,34.8147767
132,1614464520,46548.49,46628.51,46570.92,46625.55,19.51809773
133,1614464460,46530.18,46592.64,46530.18,46570.93,24.38593211
134,1614464400,46453.77,46591.57,46466.09,46530.18,71.26182523
135,1614464340,46393.29,46516.74,46393.29,46474.03,55.12940515
136,1614464280,46389.74,46393.3,46389.74,46393.3,10.9571179
137,1614464220,46380.0,46449.64,46395.55,46389.74,23.70179384
138,1614464160,46387.88,46539.75,46488.99,46395.55,27.85049113
139,1614464100,46315.94,46628.37,46626.73,46488.98,218.88747226
140,1614464040,46618.31,46679.73,46618.31,46635.82,13.60673145
141,1614463980,46614.29,46710.01,46690.24,46618.31,41.35673857
142,1614463920,46631.78,46704.76,46631.79,46688.83,15.36828535
143,1614463860,46631.78,46742.54,46736.86,46631.78,68.32123621
144,1614463800,46747.55,46822.16,46809.75,46756.3,20.50268311
145,1614463740,46667.1,46809.75,46698.18,46809.74,13.0285321
146,1614463680,46696.17,46795.9,46795.9,46698.18,23.30179121
147,1614463620,46795.89,46824.73,46824.53,46795.9,3.07966549
148,1614463560,46805.43,46823.68,46810.01,46823.26,6.34449644
149,1614463500,46810.01,46842.0,46842.0,46810.01,4.08372191
150,1614463440,46804.8,46859.42,46834.16,46842.01,9.89643517
151,1614463380,46795.89,46866.79,46795.9,46834.15,7.51822115
152,1614463320,46750.62,46804.26,46750.62,46796.33,6.21879818
153,1614463260,46750.0,46825.95,46825.77,46753.87,3.9683733
154,1614463200,46800.08,46872.16,46872.16,46825.91,30.00694749
155,1614463140,46842.63,46872.16,46842.64,46872.15,7.87561946
156,1614463080,46815.0,46853.65,46815.01,46842.63,2.85932143
157,1614463020,46814.89,46855.32,46854.54,46815.01,5.19909094
158,1614462960,46812.44,46873.05,46812.45,46857.7,4.35043946
159,1614462900,46806.54,46838.84,46833.8,46812.45,6.87835708
160,1614462840,46803.59,46850.19,46826.33,46831.07,6.06064945
161,1614462780,46788.16,46840.17,46788.16,46826.22,11.19580386
162,1614462720,46788.15,46836.78,46790.66,46788.15,5.24300898
163,1614462660,46750.0,46826.92,46784.27,46790.17,22.40674588
164,1614462600,46740.0,46788.28,46747.66,46784.27,5.54018972
165,1614462540,46721.0,46760.11,46721.01,46750.0,5.57930563
166,1614462480,46654.13,46738.14,46696.35,46721.02,23.55024219
167,1614462420,46632.47,46727.23,46665.64,46697.3,7.28538223
168,1614462360,46600.0,46724.62,46640.0,46681.0,44.39878715
169,1614462300,46627.4,46781.48,46749.05,46642.44,13.74735593
170,1614462240,46704.02,46809.62,46789.48,46749.04,10.14160196
171,1614462180,46631.05,46791.28,46704.19,46789.16,38.73418755
172,1614462120,46700.0,46813.93,46804.63,46705.24,17.22219374
173,1614462060,46794.26,46990.67,46990.45,46808.74,82.99766402
174,1614462000,46987.13,47005.83,46987.54,46990.46,6.76953726
175,1614461940,46987.13,47020.01,47007.17,46987.53,15.91572049
176,1614461880,46987.13,47049.87,46995.43,47013.01,14.78126993
177,1614461820,46964.84,47000.0,46964.84,46995.67,4.39387564
178,1614461760,46953.24,46990.05,46977.74,46964.84,5.79447584
179,1614461700,46962.44,47021.7,47021.44,46983.61,8.92825775
180,1614461640,46991.56,47055.06,47038.81,47021.7,6.5180897
181,1614461580,47014.57,47092.48,47092.48,47034.94,25.66275518
182,1614461520,47092.48,47135.59,47119.62,47092.48,12.78207498
183,1614461460,47106.11,47133.01,47106.12,47119.62,4.05398229
184,1614461400,47099.99,47130.02,47099.99,47110.88,15.07664241
185,1614461340,47099.99,47140.11,47140.11,47100.0,11.09709532
186,1614461280,47095.17,47145.47,47095.27,47145.47,3.56858853
187,1614461220,47054.47,47100.0,47099.77,47099.92,5.54049094
188,1614461160,47058.6,47100.0,47073.44,47100.0,3.55275536
189,1614461100,47014.01,47081.08,47027.69,47073.76,4.67297732
190,1614461040,47027.69,47062.32,47037.07,47027.7,2.8174891
191,1614460980,46993.98,47042.72,46994.65,47030.3,4.69064886
192,1614460920,46979.59,47045.32,47035.92,46993.99,11.2886468
193,1614460860,47003.02,47059.3,47056.05,47035.92,15.07511672
194,1614460800,47045.4,47122.25,47122.25,47050.44,5.62366532
195,1614460740,47100.0,47170.0,47169.99,47122.24,29.35567517
196,1614460680,47150.0,47170.0,47150.0,47170.0,8.19322436
197,1614460620,47150.0,47175.99,47170.01,47150.0,29.14750927
198,1614460560,47170.0,47195.3,47172.53,47170.01,12.6700702
199,1614460500,47156.7,47176.25,47156.71,47172.53,6.68099142
200,1614460440,47156.7,47156.71,47156.7,47156.71,5.1443128
201,1614460380,47156.7,47171.04,47161.13,47156.71,15.23393249
202,1614460320,47137.32,47161.19,47142.68,47161.13,4.53413578
203,1614460260,47142.67,47170.17,47162.91,47142.68,4.2657923
204,1614460200,47154.75,47171.54,47156.24,47162.9,3.18318736
205,1614460140,47136.81,47160.0,47152.13,47155.6,8.23514569
206,1614460080,47114.68,47152.13,47114.68,47152.13,7.74021077
207,1614460020,47069.99,47114.68,47086.36,47114.68,7.02006412
208,1614459960,47086.35,47172.27,47138.02,47086.36,24.07649868
209,1614459900,47138.01,47183.18,47182.67,47138.02,6.53039824
210,1614459840,47112.61,47182.68,47175.75,47182.68,14.9505408
211,1614459780,47154.71,47200.0,47154.71,47175.75,8.88135695
212,1614459720,47094.69,47176.66,47116.2,47154.72,5.18103558
213,1614459660,47088.14,47138.42,47088.15,47116.2,4.70476941
214,1614459600,47031.01,47115.23,47115.23,47088.15,15.50448754
215,1614459540,47019.15,47115.23,47061.08,47115.22,5.68351496
216,1614459480,47011.55,47099.14,47099.14,47061.09,16.00886286
217,1614459420,47070.95,47099.15,47075.02,47099.15,5.92760409
218,1614459360,47074.77,47121.41,47121.14,47074.77,10.12740084
219,1614459300,47046.08,47152.94,47078.59,47121.92,6.73244161
